username,id,title,artist,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
aaa9rnpre89bf2i0tx7ihyem0,391Mf0cxSZz9QxL5vqRD0q,How You Like That,Shin Giwon Piano,False,0,0.71,0.274,-15.567,0.0603,0.988,0.869,0.105,0.249,129.985
aaa9rnpre89bf2i0tx7ihyem0,5ovJxHYC6eIhX3SRyWbxYK,Euphoria,Funguypiano,False,0,0.345,0.144,-19.699,0.0404,0.961,0.857,0.112,0.0639,112.238
aaa9rnpre89bf2i0tx7ihyem0,0ttth86z9Kz2sELDmvMFXB,I CAN'T STOP ME,Shin Giwon Piano,False,23,0.495,0.465,-14.583,0.0421,0.972,0.87,0.128,0.163,149.984
aaa9rnpre89bf2i0tx7ihyem0,5nZaaqdQdtLnYMNmVOqnPe,Cry For Me - Sad Piano Version,DooPiano,False,24,0.463,0.202,-17.531,0.0475,0.98,0.888,0.0923,0.0716,138.049
aaa9rnpre89bf2i0tx7ihyem0,5dUjaBoHUbeoEo2SUAndSk,Wannabe,DooPiano,False,0,0.633,0.316,-17.242,0.0497,0.98,0.908,0.091,0.127,119.939
aaa9rnpre89bf2i0tx7ihyem0,7kolIWsuyUg0n8hOO0Cve8,Fancy,DooPiano,False,0,0.575,0.292,-16.227,0.0429,0.963,0.851,0.126,0.317,127.87
aaa9rnpre89bf2i0tx7ihyem0,32SZyqETvsG2T3PyUaZHSN,You Never Know,DooPiano,False,26,0.455,0.15,-18.771,0.0449,0.988,0.901,0.0697,0.0459,134.714
aaa9rnpre89bf2i0tx7ihyem0,5wUY0IeQKTRuBk3iqfeSZX,Blueming,Funguypiano,False,0,0.394,0.298,-14.468,0.0396,0.902,0.886,0.1,0.366,115.316
aaa9rnpre89bf2i0tx7ihyem0,4UYpZU0Pb7NFn3Ej4EU5R8,Hellevator,Kairos Covers,False,0,0.455,0.459,-12.015,0.037,0.946,0.897,0.113,0.148,149.601
aaa9rnpre89bf2i0tx7ihyem0,2zyICE9bDE5P35ioKHhgz6,I am YOU,Kairos Covers,False,0,0.419,0.314,-13.891,0.0501,0.979,0.908,0.11,0.104,135.027
aaa9rnpre89bf2i0tx7ihyem0,1vFMCIrOFFcHfe9Gs8jthb,My Pace,Kairos Covers,False,0,0.503,0.426,-13.801,0.0479,0.985,0.9,0.107,0.387,144.963
aaa9rnpre89bf2i0tx7ihyem0,5JhQv2bAPUUVcbs1zLgkHX,Double Knot,Kairos Covers,False,0,0.562,0.108,-25.913,0.0385,0.987,0.913,0.114,0.15,140.804
aaa9rnpre89bf2i0tx7ihyem0,1FULNVH4ErTEo3NOUF8XOT,Awkward Silence,Kairos Covers,False,0,0.478,0.419,-13.638,0.0357,0.941,0.919,0.111,0.344,100.023
aaa9rnpre89bf2i0tx7ihyem0,0GiMFJ6RL0DllsiBmz5gqo,Get Cool,Kairos Covers,False,0,0.451,0.354,-13.685,0.0378,0.978,0.869,0.121,0.415,145.68
aaa9rnpre89bf2i0tx7ihyem0,0pRwZ0Vh3Vud0XANoHyiS2,Miroh - Instrumental,Piano Dreamers,False,18,0.521,0.332,-17.087,0.0445,0.964,0.927,0.108,0.297,126.012
aaa9rnpre89bf2i0tx7ihyem0,0vHX8YpznxFerawItyHg1b,Side Effects - Instrumental,Piano Dreamers,False,17,0.566,0.203,-15.899,0.0388,0.933,0.898,0.0909,0.0969,130.004
aaa9rnpre89bf2i0tx7ihyem0,45evQto2Bg84KJLBdEQgyj,Hatey (Likey Sad Ver.),DooPiano,False,0,0.55,0.296,-17.382,0.0481,0.985,0.908,0.14,0.0781,121.19
aaa9rnpre89bf2i0tx7ihyem0,1UrDNoOyzmHOD3irT82Bvz,Knock Knock,DooPiano,False,0,0.567,0.204,-18.854,0.0363,0.973,0.907,0.121,0.0838,118.435
aaa9rnpre89bf2i0tx7ihyem0,6phP2XkYFD9uwF9mi1JuLk,NO or NO (YES or YES Sad Ver.),DooPiano,False,0,0.562,0.256,-17.693,0.0519,0.98,0.901,0.118,0.0769,126.769
aaa9rnpre89bf2i0tx7ihyem0,6Sv2mLMjjsVxjnycz7un8b,As If It's DDU-DU DDU-DU,Funguypiano,False,0,0.339,0.316,-13.617,0.0404,0.838,0.763,0.0967,0.186,136.986
aaa9rnpre89bf2i0tx7ihyem0,1BCQ0fy8VVyfmGzXBYXliL,Hellevator - Instrumental,Piano Dreamers,False,20,0.558,0.337,-16.642,0.0458,0.963,0.909,0.0974,0.214,156.003
aaa9rnpre89bf2i0tx7ihyem0,79iiAZS06LhdkwZYDQgYKe,TT,DooPiano,False,0,0.497,0.232,-17.572,0.0457,0.99,0.945,0.13,0.056,122.162
aaa9rnpre89bf2i0tx7ihyem0,2He69Fv3P6BkxWXw3JIXtN,WHISTLE,Shin Giwon Piano,False,0,0.663,0.298,-16.059,0.0464,0.985,0.904,0.131,0.151,103.001
aaa9rnpre89bf2i0tx7ihyem0,4WwVXr4IPBSGkKkFJE0fll,Kill This Love,Shin Giwon Piano,False,0,0.658,0.256,-15.937,0.0431,0.986,0.863,0.106,0.18,132.019
aaa9rnpre89bf2i0tx7ihyem0,2OS2edJHRlJHwANFv9I0R3,Peek-A-Boo,Shin Giwon Piano,False,0,0.794,0.299,-14.088,0.0753,0.986,0.919,0.124,0.623,115.015
aaa9rnpre89bf2i0tx7ihyem0,7cSqeHFXgAAikqqgPGdqsa,Gone,Shin Giwon Piano,False,19,0.417,0.22,-20.537,0.0612,0.992,0.953,0.105,0.673,79.534
aaa9rnpre89bf2i0tx7ihyem0,6uF43IuP8CvhmzniVy5t9A,TT,Shin Giwon Piano,False,0,0.66,0.304,-16.199,0.0464,0.979,0.926,0.16,0.358,130.024
aaa9rnpre89bf2i0tx7ihyem0,1ve526qP1zHgvzpoccRuMI,FIESTA - Piano Arrangement,Shin Giwon Piano,False,0,0.405,0.392,-16.063,0.04,0.97,0.928,0.154,0.727,122.904
aaa9rnpre89bf2i0tx7ihyem0,3Tp4GYks6LwMxHrR62NHIb,DNA,Kairos Covers,False,16,0.498,0.308,-15.917,0.0444,0.988,0.907,0.124,0.178,121.26
aaa9rnpre89bf2i0tx7ihyem0,6UGdj0UeW9TuKW07zmM24J,Peek-A-Boo,DooPiano,False,0,0.49,0.216,-18.755,0.0429,0.98,0.905,0.113,0.0775,111.324
aaa9rnpre89bf2i0tx7ihyem0,5MFQRXvwtGjDPknhz6yQAY,Drunk-Dazed,Funguypiano,False,20,0.547,0.459,-13.525,0.0373,0.798,0.919,0.0813,0.212,132.053
aaa9rnpre89bf2i0tx7ihyem0,5s06SwFGvkgG3zdKbLbsnT,Red Flavor,Shin Giwon Piano,False,0,0.775,0.185,-18.628,0.093,0.992,0.937,0.105,0.484,125.075
aaa9rnpre89bf2i0tx7ihyem0,4iymfNMRvfXZrGDp2g5Ccb,Red Flavor (Sad Ver.),DooPiano,False,0,0.534,0.32,-17.69,0.0443,0.985,0.887,0.075,0.107,117.516
aaa9rnpre89bf2i0tx7ihyem0,72dMf7qqFNmK5w2beZRUca,Back Door,Pianella Piano,False,20,0.577,0.521,-12.178,0.0407,0.782,0.859,0.116,0.42,108.008
aaa9rnpre89bf2i0tx7ihyem0,58JXUp3QAxkdZ9Xap1U3h3,Outro: Ego,DooPiano,False,0,0.58,0.255,-18.754,0.0497,0.986,0.894,0.123,0.213,109.994
aaa9rnpre89bf2i0tx7ihyem0,2vBcAG72nUlHewSgzcRyrx,MIC Drop,DooPiano,False,0,0.465,0.29,-17.799,0.0444,0.978,0.886,0.128,0.132,168.069
aaa9rnpre89bf2i0tx7ihyem0,0mTY7i01HA7464TrwNxkrp,Black Swan - Piano Arrangement,Shin Giwon Piano,False,0,0.702,0.341,-17.171,0.0659,0.99,0.885,0.128,0.57,147.042
aaa9rnpre89bf2i0tx7ihyem0,3MqandLmuSwo8XbAaWEPdX,Sour Candy,Shin Giwon Piano,False,0,0.659,0.403,-16.359,0.0431,0.981,0.919,0.139,0.754,120.001
aaa9rnpre89bf2i0tx7ihyem0,6eVYI1EW4GpXH0cx6PNwFV,PLAYING WITH FIRE,Shin Giwon Piano,False,0,0.674,0.316,-14.166,0.0428,0.991,0.881,0.111,0.582,97.015
